barcode_id,sampleid,roost_site,latitude_s,longitude_e,researchers_present,sampling_session,processing_date,processing_time_start,processing_time_end,bat_species,recap,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair,bat_weight_g,bat_forearm_mm,bat_flies,meglastreblidae,fleas,mites,ticks,t_star,mass_forearm_residual
201,LKT001,Lakato_Edup,-19.195,48.4231,"CB, CR, LA",1,8/22/13,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,293,130,NA,NA,NA,NA,NA,NA,-30.05508469
202,LKT002,Lakato_Edup,-19.195,48.4231,"CB, CR, LA",1,8/22/13,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,413.5,130,NA,NA,NA,NA,NA,NA,90.44491531
203,LKT003,Lakato_Edup,-19.195,48.4231,"CB, CR, LA",1,8/22/13,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,439,136,NA,NA,NA,NA,NA,NA,98.29323441
204,LKT004,Lakato_Edup,-19.195,48.4231,"CB, CR, LA",1,8/22/13,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,347.7,128,NA,NA,NA,NA,NA,NA,30.49678995
206,LKT005,Lakato_Edup,-19.195,48.4231,"CB, CR, LA",1,8/22/13,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,423.6,126,NA,NA,NA,NA,NA,NA,112.2323152
,ANGB11,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/23/13,NA,NA,Eidolon dupreanum,NA,female,L,no,NA,NA,NA,280,122.8,NA,NA,NA,NA,NA,NA,-5.583019815
,ANGB12,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/23/13,NA,NA,Eidolon dupreanum,NA,female,J,no,NA,NA,NA,55,71,NA,NA,NA,NA,NA,NA,NA
,ANGB13,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/23/13,NA,NA,Eidolon dupreanum,NA,male,J,no,NA,NA,NA,60,79,NA,NA,NA,NA,NA,NA,NA
208,ANGB1,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/23/13,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,290,136,NA,NA,NA,NA,NA,NA,-49.28628512
210,ANGB4,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/23/13,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,460,124,NA,NA,NA,NA,NA,NA,154.4512782
211,ANGB3,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/23/13,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,320,133.3,NA,NA,NA,NA,NA,NA,-7.995930469
212,ANGB6,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/23/13,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,300,130,NA,NA,NA,NA,NA,NA,-14.40881363
213,ANGB5,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/23/13,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,325,127,NA,NA,NA,NA,NA,NA,10.71660939
214,ANGB7,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/23/13,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,325,135.3,NA,NA,NA,NA,NA,NA,-11.34421357
215,ANGB8,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/23/13,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,380,120,NA,NA,NA,NA,NA,NA,105.3204049
216,ANGB9,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/23/13,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,290,124,NA,NA,NA,NA,NA,NA,-0.308741602
217,ANGB10,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/23/13,NA,NA,Eidolon dupreanum,NA,female,NL,no,NA,NA,NA,320,126,NA,NA,NA,NA,NA,NA,21.7449777
300,ANGB2,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/23/13,NA,NA,Eidolon dupreanum,NA,male,A,no,NA,NA,NA,330,127,NA,NA,NA,NA,NA,NA,15.71660939
,ANGB15,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,NA,female,J,no,NA,NA,NA,75,79,NA,NA,NA,NA,NA,NA,NA
,ANGB17,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,NA,male,J,no,NA,NA,NA,90,86.5,NA,NA,NA,NA,NA,NA,NA
,ANGB19,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,NA,female,J,no,NA,NA,NA,101,95,NA,NA,NA,NA,NA,NA,NA
,ANGB20,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,NA,female,J,no,NA,NA,NA,70,84.3,NA,NA,NA,NA,NA,NA,NA
,ANGB22,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,NA,male,J,no,NA,NA,NA,120,97.8,NA,NA,NA,NA,NA,NA,NA
,ANGB24,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,NA,unknown,J,no,NA,NA,NA,90,90.6,NA,NA,NA,NA,NA,NA,NA
,ANGB26,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,NA,male,J,no,NA,NA,NA,120,93,NA,NA,NA,NA,NA,NA,NA
,ANGB28,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,NA,female,J,no,NA,NA,NA,80,81,NA,NA,NA,NA,NA,NA,NA
,ANGB30,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,NA,male,J,no,NA,NA,NA,100,94.7,NA,NA,NA,NA,NA,NA,NA
218,ANGB14,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,NA,female,L,no,NA,NA,NA,350,128,NA,NA,NA,NA,NA,NA,43.71147771
219,ANGB16,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,NA,female,L,no,NA,NA,NA,325,129,NA,NA,NA,NA,NA,NA,14.66215456
220,ANGB18,Angavobe_Edup,-18.944,47.9491,"CB, CR, Dada",4,11/24/13,NA,NA,Eidolon dupreanum,NA,female,L,no,NA,NA,NA,300,130,NA,NA,NA,NA,NA,NA,-14.40881363
