"lag","ccf","variable","bat_sex"
-12,-0.00778501869242241,"mean humidity","female"
-11,0.073644739223512,"mean humidity","female"
-10,-0.230672049146163,"mean humidity","female"
-9,-0.291958054673117,"mean humidity","female"
-8,-0.292507500876846,"mean humidity","female"
-7,-0.0844492440897372,"mean humidity","female"
-6,0.102407404013125,"mean humidity","female"
-5,0.344063164074751,"mean humidity","female"
-4,0.288419297535776,"mean humidity","female"
-3,0.257244660270645,"mean humidity","female"
-2,0.202423304899811,"mean humidity","female"
-1,0.161443683818539,"mean humidity","female"
0,0.181242149978331,"mean humidity","female"
-12,-0.340764902006799,"mean temperature","female"
-11,-0.461530064809223,"mean temperature","female"
-10,-0.351563516955706,"mean temperature","female"
-9,-0.138461312275264,"mean temperature","female"
-8,0.0936177215293233,"mean temperature","female"
-7,0.208598272682121,"mean temperature","female"
-6,0.294785709741365,"mean temperature","female"
-5,0.2770848573391,"mean temperature","female"
-4,0.220017369623293,"mean temperature","female"
-3,0.164534655893589,"mean temperature","female"
-2,0.143019758614186,"mean temperature","female"
-1,-0.0966156072668853,"mean temperature","female"
0,-0.310823933547753,"mean temperature","female"
-12,-0.15426874324656,"mean precipitation","female"
-11,-0.190767480130167,"mean precipitation","female"
-10,-0.144233386099395,"mean precipitation","female"
-9,-0.110659339164069,"mean precipitation","female"
-8,-0.159741768668965,"mean precipitation","female"
-7,0.102247782186818,"mean precipitation","female"
-6,0.321157746646146,"mean precipitation","female"
-5,0.497656691456148,"mean precipitation","female"
-4,0.444066451655478,"mean precipitation","female"
-3,0.189957869664518,"mean precipitation","female"
-2,0.0677480765763271,"mean precipitation","female"
-1,-0.120155673950337,"mean precipitation","female"
0,-0.119076437162382,"mean precipitation","female"
-12,0.13591326890328,"mean humidity","male"
-11,0.124988880539622,"mean humidity","male"
-10,-0.0426377272445452,"mean humidity","male"
-9,-0.193406985350635,"mean humidity","male"
-8,-0.257530406525978,"mean humidity","male"
-7,-0.275963085849415,"mean humidity","male"
-6,-0.0954993614073106,"mean humidity","male"
-5,0.101659286676532,"mean humidity","male"
-4,0.0876269435018762,"mean humidity","male"
-3,0.187807635976732,"mean humidity","male"
-2,0.229769775911783,"mean humidity","male"
-1,0.276118048583738,"mean humidity","male"
0,0.311984764978805,"mean humidity","male"
-12,-0.136838091463051,"mean temperature","male"
-11,-0.334718419518158,"mean temperature","male"
-10,-0.364346276155732,"mean temperature","male"
-9,-0.284475904844358,"mean temperature","male"
-8,-0.156215910348398,"mean temperature","male"
-7,-0.020748249721405,"mean temperature","male"
-6,0.129567433237123,"mean temperature","male"
-5,0.203328728903408,"mean temperature","male"
-4,0.253561321359141,"mean temperature","male"
-3,0.29253881787178,"mean temperature","male"
-2,0.291058490404173,"mean temperature","male"
-1,0.10638314123587,"mean temperature","male"
0,-0.118825646879534,"mean temperature","male"
-12,-0.0827164939425478,"mean precipitation","male"
-11,-0.102541042319006,"mean precipitation","male"
-10,-0.214717953993708,"mean precipitation","male"
-9,-0.216620852470647,"mean precipitation","male"
-8,-0.305768710653141,"mean precipitation","male"
-7,-0.137501025415314,"mean precipitation","male"
-6,0.0259891155758371,"mean precipitation","male"
-5,0.262716252106816,"mean precipitation","male"
-4,0.335315961445911,"mean precipitation","male"
-3,0.33308851279045,"mean precipitation","male"
-2,0.253053732055022,"mean precipitation","male"
-1,0.0342712861333796,"mean precipitation","male"
0,-0.0394542443119631,"mean precipitation","male"
-12,0.111556790046566,"mean humidity","composite"
-11,0.132819349962618,"mean humidity","composite"
-10,-0.111671630620293,"mean humidity","composite"
-9,-0.244427712583323,"mean humidity","composite"
-8,-0.285485983505886,"mean humidity","composite"
-7,-0.193421476136809,"mean humidity","composite"
-6,0.00530104888482653,"mean humidity","composite"
-5,0.187232831196179,"mean humidity","composite"
-4,0.162809291267945,"mean humidity","composite"
-3,0.191737160591901,"mean humidity","composite"
-2,0.211441145002859,"mean humidity","composite"
-1,0.224703623464189,"mean humidity","composite"
0,0.272225066013416,"mean humidity","composite"
-12,-0.231008211553643,"mean temperature","composite"
-11,-0.397145679026234,"mean temperature","composite"
-10,-0.366246445957258,"mean temperature","composite"
-9,-0.23235116514761,"mean temperature","composite"
-8,-0.0580922179847997,"mean temperature","composite"
-7,0.0607540889971012,"mean temperature","composite"
-6,0.18624045946152,"mean temperature","composite"
-5,0.227296817990453,"mean temperature","composite"
-4,0.243549426932894,"mean temperature","composite"
-3,0.254146952166134,"mean temperature","composite"
-2,0.244870844268633,"mean temperature","composite"
-1,0.0272996708194822,"mean temperature","composite"
0,-0.205173158299937,"mean temperature","composite"
-12,-0.0752140021262188,"mean precipitation","composite"
-11,-0.120011003603839,"mean precipitation","composite"
-10,-0.193547957902649,"mean precipitation","composite"
-9,-0.205729718901874,"mean precipitation","composite"
-8,-0.252901648726079,"mean precipitation","composite"
-7,-0.0329120113983973,"mean precipitation","composite"
-6,0.178421914786741,"mean precipitation","composite"
-5,0.377060240872463,"mean precipitation","composite"
-4,0.415746187727417,"mean precipitation","composite"
-3,0.26138784994764,"mean precipitation","composite"
-2,0.163029147053422,"mean precipitation","composite"
-1,-0.0141750773746522,"mean precipitation","composite"
0,-0.0555983600113028,"mean precipitation","composite"
